Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NJuvs	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	6750	4500	2250	10370	1660	0.250339	0	1290	0	2570
0	1	0	10156	7567	2589	13097	1514	0.228322	0	1290	0	2570
0	2	0	11896	8450	3446	13608	1595	0.240537	0	1290	0	2570
0	3	0	13512	9085	4427	15259	1810	0.27296	0	1290	0	2570
0	4	0	15105	9930	5175	17160	2021	0.304781	0	1290	0	2570
0	5	0	16431	10781	5650	19055	2259	0.340673	0	1290	0	2570
0	6	0	17923	11767	6156	21727	2553	0.38501	0	1290	0	2570
0	7	0	19417	12940	6477	24139	2799	0.422108	0	1290	0	2570
0	8	0	20711	13989	6722	26188	3017	0.454984	0	1290	0	2570
0	9	0	22026	14965	7061	28619	3271	0.493289	0	1290	0	2570
0	10	0	23306	16112	7194	30651	3445	0.519529	0	1290	0	2570
0	11	0	24266	16865	7401	32429	3596	0.542301	0	1290	0	2570
0	12	0	25352	17716	7636	33791	3708	0.559192	0	1290	0	2570
0	13	0	25911	18124	7787	34895	3845	0.579852	0	1290	0	2570
0	14	0	26601	18655	7946	36186	3985	0.600965	0	1290	0	2570
0	15	0	27122	19157	7965	37336	4019	0.606093	0	1290	0	2570
0	16	0	27234	19120	8114	37764	4088	0.616498	0	1270	0	2570
0	17	0	27828	19716	8112	38196	4163	0.627809	0	1260	0	2570
0	18	0	27739	19715	8024	38709	4127	0.62238	0	1230	0	2570
0	19	0	28088	20173	7915	39115	4164	0.62796	0	1230	0	2570
0	20	0	28507	20423	8084	39471	4235	0.638667	0	1230	0	2570
0	21	0	28827	20586	8241	40336	4271	0.644096	0	1260	0	2570
0	22	0	29257	21025	8232	40957	4322	0.651787	0	1260	0	2570
0	23	0	29357	21049	8308	40804	4353	0.656462	0	1260	0	2570
0	24	0	29343	21009	8334	41433	4358	0.657216	0	1260	0	2570
0	25	0	29538	21343	8195	41724	4409	0.664907	0	1260	0	2570
0	26	0	29591	21286	8305	41492	4395	0.662796	0	1260	0	2570
0	27	0	29709	21259	8450	41158	4374	0.659629	0	1260	0	2570
0	28	0	29754	21194	8560	41723	4407	0.664606	0	1260	0	2570
