Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NInd_stage3	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	10	0	0	10	7	1	0.025641	161000	178000	97000	127000
0	1	0	14	7	0	7	4	1	0.025641	161000	178000	97000	127000
0	2	0	14	4	3	7	6	1	0.025641	161000	178000	97000	127000
0	3	0	16	5	2	9	11	2	0.0512821	161000	187000	97000	148000
0	4	0	22	8	3	11	0	2	0.0512821	161000	187000	97000	148000
0	5	0	18	0	4	14	12	2	0.0512821	161000	187000	97000	148000
0	6	0	28	12	0	16	13	3	0.0769231	161000	227000	97000	198000
0	7	0	35	13	8	14	10	3	0.0769231	161000	227000	97000	198000
0	8	0	30	10	5	15	15	3	0.0769231	161000	227000	97000	198000
0	9	0	38	15	7	16	9	3	0.0769231	161000	227000	97000	198000
0	10	0	33	8	8	17	22	3	0.0769231	161000	227000	97000	198000
0	11	0	44	22	4	18	13	3	0.0769231	161000	227000	97000	198000
0	12	0	46	12	14	20	18	3	0.0769231	161000	227000	97000	198000
0	13	0	46	18	4	24	23	3	0.0769231	161000	227000	97000	198000
0	14	0	53	21	8	24	14	3	0.0769231	161000	227000	97000	198000
0	15	0	53	13	15	25	12	3	0.0769231	166000	262000	126000	198000
0	16	0	54	10	10	34	34	2	0.0512821	166000	262000	135000	198000
0	17	0	68	27	5	36	25	1	0.025641	166000	227000	135000	198000
0	18	0	63	20	7	36	23	2	0.0512821	166000	227000	135000	206000
0	19	0	67	23	11	33	14	2	0.0512821	166000	227000	135000	206000
0	20	0	54	10	10	34	21	3	0.0769231	166000	303000	135000	235000
0	21	0	60	18	5	37	26	4	0.102564	166000	303000	135000	241000
0	22	0	68	22	12	34	15	3	0.0769231	166000	303000	135000	235000
0	23	0	60	14	9	37	42	4	0.102564	166000	303000	135000	235000
0	24	0	77	33	10	34	19	4	0.102564	166000	303000	135000	235000
0	25	0	74	18	21	35	26	5	0.128205	166000	303000	135000	235000
0	26	0	74	22	9	43	36	6	0.153846	166000	303000	126000	277000
0	27	0	84	26	15	43	33	5	0.128205	166000	303000	126000	277000
0	28	0	90	28	12	50	35	7	0.179487	166000	379000	126000	278000
0	29	0	93	31	13	49	46	8	0.205128	166000	379000	126000	278000
0	30	0	101	37	15	49	37	7	0.179487	166000	379000	126000	278000
0	31	0	100	31	15	54	45	8	0.205128	166000	379000	126000	278000
0	32	0	103	36	18	49	45	8	0.205128	166000	379000	58000	278000
0	33	0	104	39	17	48	47	8	0.205128	161000	379000	97000	278000
0	34	0	109	40	21	48	33	6	0.153846	161000	379000	97000	278000
0	35	0	100	25	20	55	46	6	0.153846	161000	379000	97000	306000
0	36	0	116	37	17	62	37	6	0.153846	161000	379000	97000	306000
0	37	0	123	33	25	65	63	7	0.179487	161000	379000	97000	306000
0	38	0	141	46	18	77	51	10	0.25641	161000	379000	97000	322000
0	39	0	135	32	24	79	75	10	0.25641	154000	379000	97000	322000
0	40	0	146	48	22	76	73	11	0.282051	154000	379000	97000	322000
0	41	0	151	48	27	76	62	10	0.25641	154000	379000	135000	331000
0	42	0	148	45	22	81	70	12	0.307692	154000	379000	97000	331000
0	43	0	159	57	18	84	64	13	0.333333	154000	379000	97000	331000
0	44	0	156	43	32	81	65	10	0.25641	161000	379000	97000	331000
0	45	0	155	51	14	90	65	12	0.307692	161000	379000	97000	333000
0	46	0	162	52	27	83	69	10	0.25641	161000	379000	97000	322000
0	47	0	166	45	27	94	84	11	0.282051	161000	379000	97000	331000
0	48	0	173	58	26	89	56	10	0.25641	161000	379000	97000	331000
0	49	0	154	35	26	93	68	9	0.230769	161000	379000	97000	322000
0	50	0	150	39	17	94	84	9	0.230769	161000	379000	97000	322000
0	51	0	166	53	21	92	39	8	0.205128	161000	365000	97000	322000
0	52	0	145	29	30	86	75	10	0.25641	161000	365000	97000	333000
0	53	0	159	56	14	89	68	9	0.230769	161000	365000	97000	333000
0	54	0	162	46	36	80	55	11	0.282051	161000	365000	97000	333000
0	55	0	150	38	19	93	78	13	0.333333	161000	365000	97000	333000
0	56	0	161	49	21	91	65	11	0.282051	166000	365000	135000	336000
0	57	0	154	40	22	92	63	11	0.282051	166000	365000	135000	336000
0	58	0	144	38	19	87	100	12	0.307692	166000	379000	135000	336000
0	59	0	176	61	27	88	67	10	0.25641	166000	379000	135000	336000
0	60	0	161	46	25	90	74	10	0.25641	166000	379000	135000	343000
0	61	0	149	42	19	88	118	10	0.25641	166000	379000	126000	343000
0	62	0	172	72	17	83	57	8	0.205128	166000	379000	126000	333000
0	63	0	165	46	37	82	72	9	0.230769	166000	379000	126000	333000
0	64	0	164	48	26	90	83	11	0.282051	161000	379000	97000	333000
0	65	0	165	62	19	84	73	12	0.307692	161000	379000	97000	334000
0	66	0	162	49	31	82	33	12	0.307692	161000	379000	97000	334000
0	67	0	134	28	20	86	107	13	0.333333	161000	379000	97000	356000
0	68	0	159	71	9	79	61	11	0.282051	166000	379000	135000	356000
0	69	0	160	48	36	76	76	12	0.307692	166000	379000	135000	356000
