Year	Mean_OccupSuit	Std_error
0	0.025641	3.30751e-07
1	0.025641	3.30751e-07
2	0.0248718	0.000439607
3	0.0276923	0.00124553
4	0.0294872	0.00160418
5	0.0287179	0.0018324
6	0.0292308	0.00182296
7	0.0279487	0.00196581
8	0.0276923	0.00211504
9	0.0284615	0.00235892
10	0.0287179	0.0023976
11	0.0258974	0.00251164
12	0.0253846	0.00243102
13	0.0248718	0.0023465
14	0.0210256	0.0022578
15	0.0194872	0.00203307
16	0.0194872	0.00193259
17	0.0197436	0.00218227
18	0.0217949	0.00261221
19	0.0207692	0.00238134
20	0.0215385	0.00283987
21	0.0230769	0.00290415
22	0.0223077	0.00286165
23	0.0228205	0.00295841
24	0.0264103	0.00352317
25	0.0264103	0.00342763
26	0.0287179	0.00372163
27	0.0320513	0.00419311
28	0.0310256	0.00411186
29	0.0294872	0.00406443
30	0.0315385	0.00435593
31	0.0315385	0.00437115
32	0.0320513	0.00455739
33	0.0361538	0.00494486
34	0.0379487	0.00506933
35	0.0387179	0.00521164
36	0.0379487	0.00523687
37	0.0374359	0.00519792
38	0.0397436	0.00577822
39	0.0420513	0.00593856
40	0.0417949	0.00547464
41	0.0394872	0.00541076
42	0.0410256	0.00558685
43	0.0438462	0.00592485
44	0.0428205	0.00572835
45	0.0464103	0.00626693
46	0.044359	0.00563248
47	0.0469231	0.00586582
48	0.0438462	0.00547027
49	0.0464103	0.00590689
50	0.0474359	0.00617813
51	0.0494872	0.00636743
52	0.0466667	0.00612421
53	0.0489744	0.00628175
54	0.0535897	0.00675056
55	0.0530769	0.00677178
56	0.0576923	0.00761312
57	0.0551282	0.00688961
58	0.0551282	0.00702327
59	0.054359	0.00689833
60	0.0564103	0.00729802
61	0.0553846	0.00713904
62	0.0538462	0.00709032
63	0.0517949	0.00677889
64	0.0538462	0.00710903
65	0.0538462	0.00701499
66	0.0533333	0.00672676
67	0.0535897	0.00681908
68	0.0576923	0.00736482
69	0.06	0.00749749
70	0.06	0.00755045
71	0.055641	0.00703913
72	0.0579487	0.00723055
73	0.0579487	0.00729456
74	0.0584615	0.00737118
75	0.064359	0.00815329
76	0.0612821	0.00779006
77	0.0576923	0.00769123
78	0.0597436	0.00779143
79	0.0630769	0.00821758
80	0.0610256	0.00776346
81	0.0589744	0.00768367
82	0.0610256	0.00804905
83	0.0615385	0.0079846
84	0.0633333	0.00840958
85	0.0651282	0.0084014
86	0.0658974	0.00858774
87	0.0658974	0.00839219
88	0.0625641	0.00796228
89	0.065641	0.00855726
90	0.0646154	0.00853519
91	0.0651282	0.00869659
92	0.0635897	0.00818568
93	0.0635897	0.00821807
94	0.0651282	0.0085425
95	0.0658974	0.00865706
96	0.0679487	0.00887015
97	0.0702564	0.008842
98	0.0674359	0.00860628
99	0.0669231	0.00856947
100	0.0684615	0.00891258
