Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales_stage1	Nmales_stage1	Nfemales_stage2	Nmales_stage2	Nfemales_stage3	Nmales_stage3	NJuvFemales	NJuvMales
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	29	242	0	10	0	0	0	0	5	5	3	4
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	27	183	0	5	1	4	0	0	0	0	0	0
0	1	0	29	242	0	9	2	0	0	0	3	4	3	1
0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	27	183	0	4	0	1	1	2	0	0	0	0
0	2	0	29	242	0	9	3	0	0	0	3	3	5	0
0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3	0	27	183	0	3	2	0	0	0	1	0	0	0
0	3	0	29	242	0	7	3	0	0	0	1	3	1	0
0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0	4	0	27	183	0	3	1	0	1	0	1	0	0	0
0	4	0	29	242	0	4	0	0	1	0	0	3	0	0
0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
0	5	0	27	183	0	3	0	0	1	0	2	0	0	0
0	5	0	29	242	0	2	0	0	0	0	0	2	0	0
0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
0	6	0	27	183	0	1	0	0	0	0	1	0	0	0
0	6	0	29	242	0	2	0	0	0	0	0	2	0	0
0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
0	7	0	27	183	0	1	0	0	0	0	1	0	0	0
0	7	0	29	242	0	2	0	0	0	0	0	2	0	0
0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
0	8	0	27	183	0	1	0	0	0	0	1	0	0	0
0	8	0	29	242	0	2	0	0	0	0	0	2	0	0
0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
0	9	0	27	183	0	1	0	0	0	0	1	0	0	0
0	9	0	29	242	0	1	0	0	0	0	0	1	0	0
0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
0	10	0	27	183	0	1	0	0	0	0	1	0	0	0
0	10	0	29	242	0	1	0	0	0	0	0	1	0	0
0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
0	11	0	27	183	0	0	0	0	0	0	0	0	0	0
0	11	0	29	242	0	1	0	0	0	0	0	1	0	0
0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
0	12	0	27	183	0	0	0	0	0	0	0	0	0	0
0	12	0	29	242	0	1	0	0	0	0	0	1	0	0
0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
0	13	0	27	183	0	0	0	0	0	0	0	0	0	0
0	13	0	29	242	0	1	0	0	0	0	0	1	0	0
0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
0	14	0	27	183	0	0	0	0	0	0	0	0	0	0
0	14	0	29	242	0	1	0	0	0	0	0	1	0	0
0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
0	15	0	27	183	0	0	0	0	0	0	0	0	0	0
0	15	0	29	242	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	29	242	0	10	0	0	0	0	5	5	5	6
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	29	242	0	11	5	0	0	0	5	1	3	2
1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	0	27	183	0	4	2	2	0	0	0	0	0	0
1	2	0	29	242	0	6	1	0	2	0	2	1	5	5
1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3	0	27	183	0	7	1	3	1	2	0	0	0	0
1	3	0	29	242	0	8	4	0	1	0	3	0	0	0
1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	0	27	183	0	1	0	0	0	0	0	1	0	0
1	4	0	29	242	0	4	0	0	1	0	3	0	0	0
1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	0	27	183	0	1	0	0	0	0	0	1	0	0
1	5	0	29	242	0	4	0	0	0	0	4	0	0	0
1	6	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6	0	27	183	0	1	0	0	0	0	0	1	0	0
1	6	0	29	242	0	3	0	0	0	0	3	0	0	0
1	7	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7	0	27	183	0	1	0	0	0	0	0	1	0	0
1	7	0	29	242	0	2	0	0	0	0	2	0	0	0
1	8	0	0	0	0	0	0	0	0	0	0	0	0	0
1	8	0	27	183	0	1	0	0	0	0	0	1	0	0
1	8	0	29	242	0	2	0	0	0	0	2	0	0	0
1	9	0	0	0	0	0	0	0	0	0	0	0	0	0
1	9	0	27	183	0	1	0	0	0	0	0	1	0	0
1	9	0	29	242	0	0	0	0	0	0	0	0	0	0
1	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	10	0	27	183	0	1	0	0	0	0	0	1	0	0
1	10	0	29	242	0	0	0	0	0	0	0	0	0	0
1	11	0	0	0	0	0	0	0	0	0	0	0	0	0
1	11	0	27	183	0	1	0	0	0	0	0	1	0	0
1	11	0	29	242	0	0	0	0	0	0	0	0	0	0
1	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	0	27	183	0	1	0	0	0	0	0	1	0	0
1	12	0	29	242	0	0	0	0	0	0	0	0	0	0
1	13	0	0	0	0	0	0	0	0	0	0	0	0	0
1	13	0	27	183	0	1	0	0	0	0	0	1	0	0
1	13	0	29	242	0	0	0	0	0	0	0	0	0	0
1	14	0	0	0	0	0	0	0	0	0	0	0	0	0
1	14	0	27	183	0	1	0	0	0	0	0	1	0	0
1	14	0	29	242	0	0	0	0	0	0	0	0	0	0
1	15	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	0	27	183	0	0	0	0	0	0	0	0	0	0
1	15	0	29	242	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	29	242	0	10	0	0	0	0	5	5	2	2
2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	27	183	0	2	1	1	0	0	0	0	0	0
2	1	0	29	242	0	10	1	1	0	0	5	3	4	1
2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2	0	27	183	0	3	1	1	0	1	0	0	0	0
2	2	0	29	242	0	13	3	0	1	1	5	3	2	3
2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	0	27	183	0	5	1	2	1	0	0	1	0	0
2	3	0	29	242	0	12	1	1	0	0	6	4	1	3
2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	0	27	183	0	4	0	1	0	1	1	1	2	1
2	4	0	29	242	0	10	1	1	1	0	5	2	4	2
