Year	Mean_OccupSuit	Std_error
0	0.00943396	0
1	0.00943396	0
2	0.00943396	0
3	0.00943396	0
4	0.00943396	0
5	0.00943396	0
6	0.00943396	0
7	0.00943396	0
8	0.00943396	0
9	0.00943396	0
10	0.00943396	0
11	0.00943396	0
12	0.00943396	0
13	0.00943396	0
14	0.00943396	0
15	0.00943396	0
16	0.00943396	0
17	0.00943396	0
18	0.00943396	0
19	0.00943396	0
20	0.00943396	0
21	0.00943396	0
22	0.00943396	0
23	0.00943396	0
24	0.00943396	0
25	0.0117925	0.00235849
26	0.0117925	0.00235849
27	0.0117925	0.00235849
28	0.0117925	0.00235849
29	0.0117925	0.00235849
30	0.0141509	0.00272335
31	0.0141509	0.00272335
32	0.0188679	0.0038514
33	0.0165094	0.00235849
34	0.0212264	0.00451617
35	0.0212264	0.00451617
36	0.0306604	0.00451617
37	0.0377358	0.0054467
38	0.0424528	0.0060896
39	0.0400943	0.0059354
40	0.0495283	0.00235849
41	0.0542453	0.0124055
42	0.0566038	0.0077028
43	0.0660377	0.0054467
44	0.0636792	0.00451617
45	0.0660377	0.0038514
46	0.0707547	0.00471698
47	0.0778302	0.00235848
48	0.0731132	0.00235848
49	0.0754717	0.0038514
50	0.0801887	0.00272334
51	0.0754717	0
52	0.0825472	0.00235848
53	0.0801887	0.00272334
54	0.0801887	0.00272334
55	0.0825472	0.00235848
56	0.0849057	0
57	0.0801887	0.00272334
58	0.0825472	0.00235848
59	0.0849057	0
60	0.0849057	0
61	0.0872642	0.00235848
62	0.0849057	0
63	0.0849057	0
64	0.0849057	0
65	0.0849057	0
66	0.0849057	0
67	0.0849057	0
68	0.0849057	0
69	0.0849057	0
70	0.0849057	0
71	0.0849057	0
72	0.0849057	0
73	0.0849057	0
74	0.0849057	0
75	0.0896226	0.00272334
76	0.0919811	0.00451616
77	0.0896226	0.00272334
78	0.0896226	0.00272334
79	0.0896226	0.00272334
80	0.0896226	0.00272334
81	0.0943396	0.00385139
82	0.0896226	0.00272334
83	0.0896226	0.00272334
84	0.0966981	0.00235848
85	0.0966981	0.00235848
86	0.103774	0.00943396
87	0.101415	0.00707547
88	0.101415	0.00707547
89	0.108491	0.0112287
90	0.113208	0.0133416
91	0.108491	0.0112287
92	0.110849	0.0135485
93	0.115566	0.0124055
94	0.113208	0.00861199
95	0.113208	0.0133416
96	0.122642	0.0115542
97	0.117925	0.01248
98	0.122642	0.0101898
99	0.127358	0.01248
100	0.125	0.0104592
