Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	NInd_stage1	NInd_stage2	NInd_stage3	NInd_stage4	NJuvs
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	87	1016	0	200	0	0	100	100	1008
0	1	0	0	0	0	0	0	0	0	0	0
0	1	0	87	1016	0	1084	1008	0	34	42	424
0	2	0	0	0	0	0	0	0	0	0	0
0	2	0	87	1016	0	849	424	400	6	19	129
0	3	0	0	0	0	0	0	0	0	0	0
0	3	0	87	1016	0	533	129	187	209	8	1015
0	4	0	0	0	0	0	0	0	0	0	0
0	4	0	87	1016	0	1255	1015	68	134	38	818
0	5	0	0	0	0	0	0	0	0	0	0
0	5	0	87	1016	0	1343	818	425	64	36	472
0	6	0	0	0	0	0	0	0	0	0	0
0	6	0	87	1016	0	1081	472	359	231	19	1097
0	7	0	0	0	0	0	0	0	0	0	0
0	7	0	87	1016	0	1584	1097	205	238	44	1258
0	8	0	0	0	0	0	0	0	0	0	0
0	8	0	87	1016	0	1903	1258	433	161	51	1015
0	9	0	0	0	0	0	0	0	0	0	0
0	9	0	87	1016	0	1816	1015	521	234	46	1227
0	10	0	0	0	0	0	0	0	0	0	0
0	10	0	87	1016	0	2035	1227	427	333	48	1753
0	11	0	0	0	0	0	0	0	0	0	0
0	11	0	87	1016	0	2634	1753	542	269	70	1505
0	12	0	0	0	0	0	0	0	0	0	0
0	12	0	87	1016	0	2668	1505	769	332	62	1751
0	12	0	96	269	0	0	0	0	0	0	0
0	13	0	0	0	0	0	0	0	0	0	0
0	13	0	87	1016	0	2925	1751	654	437	83	2296
0	13	0	96	269	0	0	0	0	0	0	0
0	14	0	0	0	0	0	0	0	0	0	0
0	14	0	87	1016	0	3552	2296	745	407	104	2282
0	14	0	96	269	0	0	0	0	0	0	0
0	15	0	0	0	0	0	0	0	0	0	0
0	15	0	87	1016	0	3825	2282	1001	468	74	2314
0	15	0	96	269	0	0	0	0	0	0	0
0	16	0	0	0	0	0	0	0	0	0	0
0	16	0	87	1016	0	3975	2314	964	606	91	2876
0	16	0	96	269	0	0	0	0	0	0	0
0	17	0	0	0	0	0	0	0	0	0	0
0	17	0	87	1016	0	4584	2876	995	604	109	3123
0	17	0	96	269	0	0	0	0	0	0	0
0	18	0	0	0	0	0	0	0	0	0	0
0	18	0	87	1016	0	5063	3123	1193	629	118	3176
0	18	0	96	269	0	0	0	0	0	0	0
0	19	0	0	0	0	0	0	0	0	0	0
0	19	0	87	1016	0	5426	3176	1354	780	116	3782
0	19	0	96	269	0	0	0	0	0	0	0
0	20	0	0	0	0	0	0	0	0	0	0
0	20	0	87	1016	0	6163	3782	1376	856	149	4192
0	20	0	96	269	0	0	0	0	0	0	0
0	21	0	0	0	0	0	0	0	0	0	0
0	21	0	87	1016	0	6898	4192	1610	905	191	4605
0	21	0	96	269	0	0	0	0	0	0	0
0	22	0	0	0	0	0	0	0	0	0	0
0	22	0	87	1016	0	7657	4605	1787	1080	185	5092
0	22	0	96	269	0	0	0	0	0	0	0
0	23	0	0	0	0	0	0	0	0	0	0
0	23	0	87	1016	0	8434	5092	1926	1194	222	5776
0	23	0	96	269	0	0	0	0	0	0	0
0	24	0	0	0	0	0	0	0	0	0	0
0	24	0	87	1016	0	9459	5776	2221	1224	238	5935
0	24	0	96	269	0	1	0	1	0	0	0
0	25	0	0	0	0	0	0	0	0	0	0
0	25	0	87	1016	0	10091	5935	2494	1413	249	6630
0	25	0	96	269	0	1	0	0	1	0	3
0	26	0	0	0	0	0	0	0	0	0	0
0	26	0	87	1016	0	11024	6630	2513	1597	284	7425
0	26	0	96	269	0	4	3	0	0	1	9
0	27	0	0	0	0	0	0	0	0	0	0
0	27	0	87	1016	0	12208	7425	2815	1652	316	7677
0	27	0	96	269	0	10	9	1	0	0	0
0	27	0	99	73	0	0	0	0	0	0	0
0	28	0	0	0	0	0	0	0	0	0	0
0	28	0	87	1016	0	12950	7677	3157	1774	342	8065
0	28	0	96	269	0	3	0	3	0	0	0
0	28	0	99	73	0	0	0	0	0	0	0
0	29	0	0	0	0	0	0	0	0	0	0
0	29	0	87	1016	0	13709	8065	3240	2024	380	8944
0	29	0	96	269	0	2	0	0	2	0	7
0	29	0	99	73	0	0	0	0	0	0	0
0	30	0	0	0	0	0	0	0	0	0	0
0	30	0	87	1016	0	14881	8944	3438	2067	432	9382
0	30	0	96	269	0	9	7	1	1	0	5
0	30	0	99	73	0	0	0	0	0	0	0
0	31	0	0	0	0	0	0	0	0	0	0
0	31	0	44	706	0	0	0	0	0	0	0
0	31	0	87	1016	0	15752	9382	3758	2176	436	9309
0	31	0	96	269	0	10	5	4	1	0	6
0	31	0	99	73	0	0	0	0	0	0	0
0	31	0	63	20	0	0	0	0	0	0	0
0	31	0	64	10	0	0	0	0	0	0	0
0	32	0	0	0	0	0	0	0	0	0	0
0	32	0	44	706	0	0	0	0	0	0	0
0	32	0	87	1016	0	16143	9309	3970	2427	437	10246
0	32	0	96	269	0	13	6	5	2	0	12
0	32	0	99	73	0	1	0	0	1	0	1
0	32	0	63	20	0	0	0	0	0	0	0
0	32	0	64	10	0	0	0	0	0	0	0
0	33	0	0	0	0	0	0	0	0	0	0
0	33	0	44	706	0	0	0	0	0	0	0
0	33	0	87	1016	0	17230	10246	3965	2515	504	10792
0	33	0	96	269	0	20	12	6	1	1	9
0	33	0	99	73	0	1	1	0	0	0	0
0	33	0	63	20	0	2	0	2	0	0	0
0	33	0	64	10	0	0	0	0	0	0	0
0	34	0	0	0	0	0	0	0	0	0	0
0	34	0	44	706	0	0	0	0	0	0	0
0	34	0	87	1016	0	18304	10792	4388	2576	548	10982
0	34	0	96	269	0	19	9	4	5	1	37
0	34	0	99	73	0	1	0	1	0	0	0
0	34	0	63	20	0	2	0	0	2	0	8
0	34	0	64	10	0	0	0	0	0	0	0
0	35	0	0	0	0	0	0	0	0	0	0
0	35	0	44	706	0	1	0	1	0	0	0
0	35	0	87	1016	0	18929	10982	4587	2758	602	11659
0	35	0	96	269	0	44	37	4	2	1	10
0	35	0	99	73	0	1	0	1	0	0	0
0	35	0	63	20	0	9	8	0	1	0	4
0	35	0	64	10	0	1	0	1	0	0	0
0	36	0	0	0	0	0	0	0	0	0	0
0	36	0	44	706	0	2	0	1	1	0	3
0	36	0	56	187	0	0	0	0	0	0	0
0	36	0	58	11	0	0	0	0	0	0	0
