Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NInd_stage3	NInd_stage4	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	200	0	0	100	100	1018	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	1	0	1086	1018	0	21	47	364	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	2	0	767	364	381	3	19	115	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	3	0	462	115	170	173	4	809	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	4	0	997	809	44	116	28	656	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	5	0	1077	656	344	53	24	377	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	6	0	874	377	303	185	9	814	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	7	0	1199	814	174	183	28	907	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	8	0	1415	907	346	128	34	776	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	9	0	1402	776	399	195	32	997	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	10	0	1611	997	325	241	48	1324	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	11	0	2026	1324	441	205	56	1140	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	12	0	2021	1140	570	263	48	1455	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	13	0	2331	1455	492	324	60	1733	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	14	0	2706	1733	589	322	62	1625	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	15	0	2805	1625	731	365	84	2070	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	16	0	3268	2070	685	430	83	2257	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	17	0	3688	2257	907	441	83	2337	2	0.0188679	3.8581e+06	4.1261e+06	2.2363e+06	2.6563e+06
0	18	0	3926	2337	950	543	96	2791	2	0.0188679	3.8581e+06	4.1261e+06	2.2363e+06	2.6563e+06
0	19	0	4505	2791	995	613	106	3052	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	20	0	4976	3052	1175	619	130	3236	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	21	0	5426	3236	1321	743	126	3710	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	22	0	6095	3710	1405	831	149	4034	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	23	0	6690	4034	1588	884	184	4551	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	24	0	7500	4551	1775	986	188	4835	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	25	0	8091	4835	1941	1089	226	5441	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	26	0	8947	5441	2074	1213	219	5746	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	27	0	9600	5746	2272	1324	258	6406	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
